España											
Actualizado: miércoles, 01 febrero 2017 a las 14:00 hora oficial											
Fecha: martes, 31 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Plasencia	Cáceres	16.9 (16:10)	8.0 (08:30)	12,4	39 (10:40)	11 (01:50)	0	0	0	0	0
Coria	Cáceres	16.7 (16:20)	7.0 (08:40)	11,9	26 (16:50)	16 (17:10)	0	0	0	0	0
Torrecilla de los Angeles	Cáceres	15.2 (15:00)	6.9 (09:00)	11	41 (01:50)	20 (01:50)	0	0	0	0	0
Hoyos	Cáceres							0	0	0	
Zarza La Mayor	Cáceres	14.4 (14:20)	5.6 (08:30)	10	18 (13:40)	14 (04:00)	0	0	0	0	0
Valverde del Fresno	Cáceres	13.4 (15:10)	8.0 (08:50)	10,7	23 (15:20)	16 (14:50)	0	0	0	0	0
Aliseda	Cáceres	15.2 (15:40)	4.0 (09:00)	9,6	23 (00:40)	12 (02:30)	0	0	0	0	0
Brozas	Cáceres	14.3 (16:30)	5.6 (08:20)	10	21 (14:40)	14 (22:10)	0	0	0	0	0
Valencia de Alcántara	Cáceres	11.9 (17:10)	6.3 (07:30)	9,1	28 (13:20)	15 (13:00)	0	0	0	0	0
Guadalupe	Cáceres	14.5 (16:00)	4.7 (06:40)	9,6	18 (15:10)	9 (16:20)	0	0	0	0	0
Cañamero	Cáceres	16.1 (16:30)	5.7 (08:00)	10,9	19 (08:10)	11 (09:00)	0	0	0	0	0
Zorita	Cáceres	15.8 (16:10)	8.4 (06:50)	12,1	33 (15:30)	21 (08:00)	0	0	0	0	0
Alcuescar	Cáceres	15.0 (16:40)	5.5 (08:20)	10,3	27 (12:40)	18 (06:30)	0,2	0	0,2	0	0
Chipiona	Cádiz	17.5 (14:40)	5.9 (08:40)	11,7	37 (14:40)	23 (14:20)	0,2	0	0,2	0	0
Rota, Base Naval	Cádiz	17.3 (15:30)	6.7 (05:50)	12			0	0	0	0	0
Grazalema	Cádiz	15.8 (12:50)	5.0 (02:00)	10,4	33 (11:40)	9 (03:50)	0	0	0	0	0
Olvera	Cádiz	19.5 (14:00)	8.2 (00:10)	13,8	31 (15:40)	14 (15:40)	0	0	0	0	0
El Bosque	Cádiz	18.9 (12:20)	6.2 (02:30)	12,5	55 (12:10)	36 (12:00)	0	0	0	0	0
San José del Valle	Cádiz	19.4 (12:30)	8.1 (02:50)	13,8	35 (16:20)	26 (16:30)	0	0	0	0	0
Jerez de la Frontera Aeropuerto	Cádiz	19.0 (12:50)	3.5 (05:40)	11,3	41 (14:20)	30 (14:20)	0	0	0	0	0
San Fernando	Cádiz	17.6 (14:30)	9.5 (03:30)	13,6	42 (12:40)	18 (12:30)	0	0	0	0	0
Cádiz	Cádiz	16.6 (14:50)	10.9 (04:00)	13,8	44 (12:20)	28 (12:20)	0	0	0	0	0
Medina Sidonia	Cádiz										
Vejer de la Frontera	Cádiz	18.0 (12:10)	9.6 (08:00)	13,8	39 (13:10)	18 (13:30)	0	0	0	0	0
Barbate	Cádiz	18.5 (12:50)	7.9 (08:10)	13,2	33 (14:10)	26 (13:40)	0	0	0	0	0
Tarifa	Cádiz	17.7 (15:50)	14.2 (06:50)	16	98 (00:30)	32 (11:00)	0	0	0	0	0
Jimena de la Frontera	Cádiz	16.7 (15:50)	7.4 (06:10)	12,1	24 (14:00)	15 (14:00)					
