España											
Actualizado: lunes, 01 febrero 2016 a las 10:00 hora oficial											
Fecha: domingo, 31 enero 2016											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Punta Galea	Bizkaia	16.2 (14:20)	11.0 (00:00)	13,6	34 (16:30)	19 (20:50)	0	0	0	0	0
Orozko	Bizkaia	14.1 (16:10)	8.0 (08:40)	11,1	46 (02:20)	23 (02:20)	0	0	0	0	0
Abadiño	Bizkaia	10.6 (17:00)	5.4 (04:40)	8			2,4	1,2	0,2	0	1
Amorebieta--Etxano	Bizkaia	14.2 (16:40)	6.8 (00:30)	10,5	21 (06:10)	9 (07:30)	0,2	0,2	0	0	0
Balmaseda	Bizkaia	16.2 (16:10)	7.6 (00:30)	11,9			0,4	0	0	0	0,4
Güeñes	Bizkaia	14.6 (16:40)	7.9 (00:10)	11,3	24 (20:20)	17 (20:10)	0,1	0	0	0	0,1
Bilbao Aeropuerto	Bizkaia	16.8 (15:30)	10.2 (00:30)	13,5	35 (03:40)	21 (20:10)	0	0	0	0	0
Sopuerta	Bizkaia	16.7 (16:30)	8.9 (00:10)	12,8	29 (23:00)	14 (17:50)	0	0	0	0	0
Coruña del Conde	Burgos	7.4 (23:59)	4.4 (02:30)	5,9	29 (07:50)	17 (00:20)	0,6	0	0,2	0,4	0
Aranda de Duero	Burgos	8.8 (19:10)	5.6 (00:50)	7,2	36 (01:00)	19 (13:00)	0	0	0	0	0
Pedrosa del Príncipe	Burgos	13.2 (17:10)	4.7 (00:00)	8,9	35 (05:10)	21 (05:10)	0	0	0	0	0
Palacios de la Sierra	Burgos	6.7 (23:30)	3.5 (01:30)	5,1	25 (02:10)	14 (02:00)	0	0	0	0	0
Monterrubio de la Demanda	Burgos	6.3 (18:00)	2.5 (03:10)	4,4	31 (00:30)	23 (02:30)	0	0	0	0	0
Villamayor de los Montes	Burgos	8.2 (23:40)	4.3 (00:20)	6,3	26 (12:10)	18 (14:50)	0	0	0	0	0
Burgos Aeropuerto	Burgos	8.2 (15:40)	4.5 (01:40)	6,3			0	0	0	0	0
