España											
Actualizado: sábado, 28 enero 2017 a las 14:00 hora oficial											
Fecha: viernes, 27 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Barco de Avila	Ávila	5.3 (15:50)	1.6 (10:10)	3,5	34 (14:00)	22 (14:10)	4,8	1,6	1,4	0,6	1,2
Puerto El Pico	Ávila	3.9 (17:10)	-0.6 (05:40)	1,7	47 (22:30)	26 (22:30)	29,8	22,4	6,4	0,6	0,4
Candeleda	Ávila	10.0 (16:40)	4.5 (06:00)	7,3	44 (16:50)	22 (16:50)	17,4	11,2	6	0,2	0
Herrera del Duque	Badajoz	10.0 (14:30)	5.7 (23:50)	7,8	56 (10:50)	31 (10:40)	13,2	3,2	8,6	1,2	0,2
Peraleda del Zaucejo	Badajoz	9.9 (14:10)	5.3 (23:50)	7,6	59 (14:20)	38 (20:50)	8,4	3,4	4,8	0,2	0
Castuera	Badajoz	9.6 (15:00)	4.2 (23:59)	6,9	69 (00:40)	47 (00:40)	6,4	1,4	4	0,8	0,2
Navalvillar de Pela	Badajoz	11.0 (13:50)	6.1 (23:59)	8,5	46 (16:30)	30 (16:30)	7,8	4,2	3,2	0,4	0
Don Benito	Badajoz	11.8 (13:00)	6.0 (23:59)	8,9	53 (14:40)	21 (16:50)	11,4	7,8	3,4	0,2	0
Llerena	Badajoz	9.0 (15:00)	3.6 (23:59)	6,3	63 (12:40)	37 (12:40)	5,4	0,8	3,6	0,6	0,4
Villafranca de los Barros	Badajoz	10.4 (14:50)	5.3 (23:59)	7,8	51 (17:00)	36 (17:00)	2,8	0,8	0,8	1,2	0
Mérida	Badajoz	12.6 (13:10)	5.6 (23:59)	9,1	48 (15:30)	31 (15:50)	4,9	1	3,8	0,1	0
Zafra	Badajoz	10.2 (15:00)	5.6 (23:40)	7,9	44 (18:00)	25 (19:40)	9	4,6	3,4	0,6	0,4
Almendralejo	Badajoz	10.5 (14:30)	5.1 (23:59)	7,8	53 (18:20)	33 (17:40)	4,4	1,6	2,2	0,6	0
Badajoz Aeropuerto	Badajoz	13.0 (13:30)	6.3 (23:59)	9,7	51 (17:00)	30 (17:00)	4,6	2	2,6	0	0
Alburquerque	Badajoz	11.9 (16:40)	4.7 (23:59)	8,3	51 (14:10)	24 (14:10)	0,6	0,4	0,2	0	0
Puebla de Obando	Badajoz	10.2 (17:40)	4.6 (23:40)	7,4	47 (05:10)	31 (17:50)	6,2	3,2	2,8	0,2	0
Badajoz	Badajoz	12.4 (15:10)	6.4 (23:59)	9,4	52 (16:50)	34 (16:50)	6,6	2,6	2	2	0
Olivenza	Badajoz	11.4 (14:00)	5.7 (22:40)	8,5	48 (14:30)	33 (14:30)	2,8	1,4	1,2	0,2	0
Alconchel	Badajoz	12.0 (14:40)	6.6 (23:30)	9,3	53 (15:20)	33 (14:50)	4,6	2,2	1	1,2	0,2
Barcarrota	Badajoz	10.2 (15:10)	4.2 (23:59)	7,2		23 (13:50)	9,8	6	2	1,8	0
