España											
Actualizado: miércoles, 21 enero 2015 a las 09:00 hora oficial											
Fecha: martes, 20 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Azuaga	Badajoz	5.3 (15:10)	-0.4 (02:50)	2,5	31 (17:10)	22 (16:40)	0,4	0	0,4	0	0
Pontons	Barcelona	4.0 (13:00)	0.4 (09:30)	2,2	26 (17:40)	17 (17:40)	0,8	0,8	0	0	0
Vilafranca del Penedès	Barcelona	9.2 (15:30)	4.1 (08:50)	6,6	25 (13:30)	13 (13:40)					
Sitges	Barcelona	9.6 (13:50)	5.8 (07:00)	7,7	30 (23:40)	14 (08:00)	0	0	0	0	0
Barcelona Aeropuerto	Barcelona	10.3 (14:50)	5.7 (08:30)	8	39 (18:40)	26 (12:20)	0	0	0	0	0
Berga	Barcelona	5.0 (14:50)	1.1 (08:50)	3,1	15 (15:10)	9 (14:50)	0,6	0,6	0	0	0
Balsareny	Barcelona							0,4			
Moià	Barcelona	3.7 (13:10)	-0.2 (08:40)	1,8	19 (13:30)	12 (13:50)	0,4	0,2	0,2	0	0
Manresa	Barcelona	6.7 (15:00)	2.5 (08:50)	4,6	23 (17:00)	14 (17:00)	0,8	0,6	0,2	0	0
Monistrol de Montserrat	Barcelona							0,4	0		0
Igualada	Barcelona	6.0 (14:30)	2.2 (23:20)	4,1	21 (12:50)	8 (12:40)	0,7	0,7	0	0	0
Corbera, Pic d'Agulles	Barcelona	5.3 (13:40)	-0.1 (08:40)	2,6			0,2	0,2	0	0	0
Barcelona	Barcelona	11.8 (15:10)	7.4 (07:50)	9,6	24 (10:20)	13 (10:20)	0	0	0	0	0
Barcelona, Museo Marítimo	Barcelona	10.8 (14:50)	7.0 (07:00)	8,9	16 (13:20)	9 (23:59)	0	0	0	0	0
Caldes de Montbui	Barcelona	10.3 (15:00)	4.0 (23:30)	7,2	15 (19:20)	10 (19:20)	0,2	0,2	0	0	0
Sabadell Aeropuerto	Barcelona										0
Vilassar de Dalt	Barcelona							0	0	0	
Arenys de Mar	Barcelona	12.3 (12:20)	5.2 (04:50)	8,8	19 (21:40)	11 (21:40)					
Santa Susana	Barcelona	11.7 (14:30)	3.1 (08:10)	7,4	22 (14:40)	13 (14:40)	0,1	0,1	0	0	0
Fogars de Montclús	Barcelona	5.1 (12:00)	0.4 (08:10)	2,7			0	0	0	0	0
Tona	Barcelona										
Sant Julià  de Vilatorta	Barcelona	6.2 (14:50)	1.1 (23:59)	3,6	10 (17:30)	5 (12:40)	0,1	0,1	0	0	0
Forua	Bizkaia	8.1 (15:40)	2.4 (07:00)	5,3	13 (06:10)	10 (06:10)	0,6	0,4	0	0	0,2
Machichaco	Bizkaia				30 (06:00)	19 (06:30)	0,5	0	0	0	0,5
Punta Galea	Bizkaia	8.7 (16:00)	3.5 (00:30)	6,1	18 (12:20)	9 (11:50)	0,3	0,1	0	0	0,2
Orozko	Bizkaia	7.1 (14:50)	0.8 (00:00)	3,9	14 (15:00)	6 (15:00)	2	0	0,2	0	1,8
Abadiño	Bizkaia	2.0 (15:50)	-1.3 (06:30)	0,4			0	0	0	0	0
Amorebieta--Etxano	Bizkaia	7.5 (15:50)	2.1 (06:40)	4,8	23 (13:40)	11 (13:50)	0,6	0	0	0	0,6
Balmaseda	Bizkaia	6.6 (15:10)	1.6 (00:00)	4,1			5,2	0	0,2	0,6	4,4
Güeñes	Bizkaia	6.6 (14:40)	1.6 (01:50)	4,1	10 (17:10)	6 (16:50)	2,6	0	0	0,1	2,5
Bilbao Aeropuerto	Bizkaia	9.2 (16:00)	3.2 (01:10)	6,2	24 (15:20)	15 (15:20)	0	0	0	0	0
Coruña del Conde	Burgos	0.4 (15:40)	-2.2 (07:10)	-0,9	19 (16:30)	12 (16:30)	0,8	0	0,6	0,2	0
Aranda de Duero	Burgos	1.5 (14:40)	-2.0 (02:30)	-0,3	19 (13:00)	11 (13:50)	0,2	0	0,2	0	0
Pedrosa del Príncipe	Burgos										
Palacios de la Sierra	Burgos	0.1 (15:10)	-4.1 (00:50)	-2	26 (23:30)	15 (23:30)	1,4	0	0	1,2	0,2
Monterrubio de la Demanda	Burgos	-1.3 (15:50)	-5.0 (01:30)	-3,1	23 (14:10)	17 (14:10)	0,6	0	0,2	0,2	0,2
