España											
Actualizado: domingo, 01 febrero 2015 a las 09:00 hora oficial											
Fecha: sábado, 31 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Bilbao Aeropuerto	Bizkaia	10.7 (00:10)	4.8 (21:00)	7,8	84 (23:20)	50 (23:40)	23,6	10,3	5,6	3,6	4,1
Coruña del Conde	Burgos	7.2 (00:00)	-1.0 (22:10)	3,1	60 (00:10)	39 (17:20)	1,2	1	0,2	0	0
Aranda de Duero	Burgos	8.3 (00:50)	-0.2 (22:10)	4,1	60 (02:30)	25 (02:20)	0	0	0	0	0
Pedrosa del Príncipe	Burgos	7.8 (00:00)	-0.9 (22:50)	3,5	52 (00:40)	35 (00:40)	0	0	0	0	0
Palacios de la Sierra	Burgos	6.4 (00:00)	-2.2 (23:10)	2,1	63 (00:30)	36 (00:20)	4,4	2	0,8	1,6	0
Monterrubio de la Demanda	Burgos	5.3 (00:00)	-2.7 (22:50)	1,3	66 (00:40)	42 (00:50)	5	3,2	0,2	1,6	0
Villamayor de los Montes	Burgos	7.5 (00:00)	-1.0 (22:50)	3,3	50 (15:30)	27 (16:10)	0,2	0	0	0,2	0
Burgos Aeropuerto	Burgos	7.3 (00:00)	-0.7 (22:30)	3,3			3,6	0,6	0,8	2,2	0
Santa Gadea de Alfoz	Burgos	4.4 (00:10)	-1.8 (19:40)	1,3			12,4	9,6	1,2	1,6	0
Sargentes de la Lora	Burgos	3.7 (00:00)	-2.4 (20:00)	0,6	53 (21:50)	33 (21:50)	15,4	4,4	3,2	5,8	2
Briviesca	Burgos	8.0 (00:00)	-0.3 (23:20)	3,8	54 (12:30)	31 (12:30)	5,6	1,4	3,8	0,2	0,2
Miranda de Ebro	Burgos	8.5 (00:20)	0.5 (19:40)	4,5	58 (01:00)	30 (01:20)	29,6	4,8	8	7,4	9,4
Belorado	Burgos	7.9 (00:30)	-0.7 (23:59)	3,6	59 (16:00)	39 (16:00)	2,8	0,3	0,6	1,3	0,6
Navalvillar de Ibor	Cáceres	8.7 (00:00)	-0.3 (23:20)	4,2	72 (05:00)	28 (03:30)	9	6,8	2	0,2	0
Madrigal de la Vera	Cáceres	11.5 (14:30)	4.7 (22:20)	8,1	82 (06:40)	37 (06:40)	2,2	1,8	0,4	0	0
Navalmoral de la Mata	Cáceres	14.2 (00:30)	5.7 (23:40)	9,9	72 (04:50)	38 (03:40)	1,4	1,4	0	0	0
Garganta de la Olla	Cáceres							12	0,2	2,8	
Serradilla	Cáceres	12.7 (00:50)	5.1 (23:10)	8,9	65 (06:10)	34 (05:50)	1,4	1,2	0,2	0	0
Jaraicejo	Cáceres	11.2 (01:40)	2.3 (23:50)	6,7	57 (04:40)	30 (03:50)	5,6	4,2	1,2	0	0,2
Trujillo	Cáceres	12.1 (01:00)	2.6 (23:59)	7,4	64 (00:50)	43 (05:20)	4,2	0,2	4	0	0
Cáceres	Cáceres	12.9 (00:50)	3.7 (23:59)	8,3	61 (13:40)	35 (06:10)	0	0	0	0	0
Cañaveral	Cáceres	12.8 (00:20)	5.1 (23:59)	9	93 (06:50)	50 (06:50)	4,4	4,4	0	0	0
Nuñomoral	Cáceres	13.1 (00:00)	4.1 (22:50)	8,6	74 (04:00)	31 (04:00)	4,2	3,4	0,8	0	0
Guijo de Granadilla	Cáceres	13.1 (01:00)	2.8 (23:30)	8	60 (07:00)	30 (08:00)	2,8	2,6	0,2	0	0
Hervás	Cáceres	10.3 (00:20)	1.9 (21:20)	6,1	58 (05:20)	28 (05:20)	2,2	2,2	0	0	0
Montehermoso	Cáceres	13.8 (00:00)	3.8 (21:30)	8,8	53 (05:30)	33 (05:50)	0,4	0,4	0	0	0
Tornavacas	Cáceres	9.1 (00:50)	0.9 (22:00)	5	98 (07:00)	38 (04:00)	22,8	21,2	1,4	0,2	0
Piornal	Cáceres	6.6 (00:00)	-2.7 (23:59)	1,9	82 (22:40)	43 (04:00)	15,8	15	0,8	0	0
Plasencia	Cáceres	12.4 (00:10)	2.1 (23:50)	7,2	55 (07:10)	27 (04:30)	0,6	0,6	0	0	0
Torrecilla de los Angeles	Cáceres	14.4 (00:00)	4.3 (19:30)	9,3	72 (23:59)	37 (04:50)	4,6	3	0,8	0,4	0,4
Hoyos	Cáceres	11.5 (00:00)	4.0 (23:59)	7,8	83 (05:20)	28 (05:00)	1,6	1,6	0	0	0
Zarza La Mayor	Cáceres	13.4 (00:10)	3.7 (23:59)	8,5	55 (03:10)	38 (00:10)	0,6	0,6	0	0	0
Valverde del Fresno	Cáceres	12.7 (00:00)	3.9 (23:40)	8,3	66 (14:20)	32 (14:20)	1,8	1,6	0,2	0	0
Aliseda	Cáceres	13.6 (00:00)	3.8 (23:30)	8,7	64 (05:30)	38 (03:20)	0,6	0,4	0,2	0	0
Brozas	Cáceres	12.4 (00:30)	1.5 (22:50)	6,9	74 (05:50)	56 (04:40)	0,4	0,4	0	0	0
Valencia de Alcántara	Cáceres	12.1 (00:00)	3.8 (23:50)	8	66 (00:10)	39 (03:50)	0,6	0,6	0	0	0
Guadalupe	Cáceres	11.4 (00:20)	3.4 (23:00)	7,4	69 (04:10)	25 (06:50)	24,2	13	11	0,2	0
Cañamero	Cáceres	10.4 (00:00)	3.1 (23:59)	6,7	60 (05:00)	35 (00:30)	5,8	3,8	2	0	0
Zorita	Cáceres	12.6 (00:50)	2.9 (23:30)	7,8	86 (06:50)	59 (06:50)	3,2	1	2,2	0	0
Alcuescar	Cáceres	11.4 (00:20)	2.7 (23:59)	7	65 (06:40)	36 (06:40)	5,2	3,2	2	0	0
Chipiona	Cádiz	16.1 (14:30)	11.0 (23:50)	13,6	62 (11:00)	40 (07:30)	0	0	0	0	0
Rota, Base Naval	Cádiz	16.1 (14:30)	10.5 (23:59)	13,3			0	0	0	0	0
Grazalema	Cádiz	8.2 (07:00)	2.1 (23:20)	5,1	59 (11:10)	25 (19:30)	100	29,9	67,4	2,4	0,3
Olvera	Cádiz	12.0 (16:00)	4.5 (23:59)	8,3	74 (10:30)	45 (08:10)	7	1	6	0	0
El Bosque	Cádiz	13.2 (15:20)	6.4 (23:50)	9,8	51 (11:50)	25 (18:00)	12,4	3,2	9,2	0	0
San José del Valle	Cádiz	15.9 (14:40)	7.6 (23:30)	11,7	44 (13:40)	16 (13:40)	1,8	1	0,4	0,4	0
Jerez de la Frontera Aeropuerto	Cádiz	16.8 (14:00)	8.3 (23:59)	12,5	65 (09:00)	42 (09:30)	0,3	0,3	0	0	0
San Fernando	Cádiz	15.9 (16:00)	11.7 (23:59)	13,8	68 (08:40)	41 (08:40)	0,3	0	0,3	0	0
Cádiz	Cádiz	15.5 (15:30)	11.5 (23:50)	13,5	66 (07:40)	37 (06:10)	0,3	0	0,3	0	0
Medina Sidonia	Cádiz	16.1 (15:20)	9.3 (23:59)	12,7	62 (16:00)	39 (01:10)	2,6	1,2	1,4	0	0
Vejer de la Frontera	Cádiz	15.0 (13:10)	9.4 (23:50)	12,2	72 (10:00)	41 (10:00)	1,5	0,8	0,7	0	0
Barbate	Cádiz	16.7 (15:10)	10.7 (23:59)	13,7	59 (10:10)	40 (05:30)	1,2	0,4	0,8	0	0
Tarifa	Cádiz	17.5 (12:10)	12.8 (23:59)	15,2	78 (10:00)	48 (06:50)	2,5	0,2	2,2	0,1	0
Jimena de la Frontera	Cádiz	16.5 (13:20)	9.7 (23:59)	13,1	75 (14:30)	43 (14:50)	5,6	0,8	4,8	0	0
