España											
Actualizado: martes, 06 enero 2015 a las 09:30 hora oficial											
Fecha: lunes, 05 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Lekeitio	Bizkaia	12.8 (14:30)	6.6 (09:50)	9,7	31 (22:40)	18 (20:20)	0	0	0	0	0
Forua	Bizkaia	14.4 (14:20)	3.4 (08:10)	8,9	35 (21:20)	15 (21:40)	0	0	0	0	0
Machichaco	Bizkaia				63 (22:00)	48 (22:20)	0,1	0	0	0	0,1
Punta Galea	Bizkaia	12.7 (15:20)	4.6 (08:00)	8,6	35 (21:00)	19 (20:50)	0	0	0	0	0
Orozko	Bizkaia	13.3 (14:10)	0.9 (09:10)	7,1	13 (16:50)	8 (16:20)	0	0	0	0	0
Abadiño	Bizkaia	10.0 (15:30)	0.7 (09:20)	5,3			0	0	0	0	0
Amorebieta--Etxano	Bizkaia	16.0 (15:20)	4.3 (21:10)	10,2	14 (07:10)	7 (07:10)	0	0	0	0	0
Balmaseda	Bizkaia	15.1 (15:00)	-1.0 (08:10)	7,1			0,2	0	0,2	0	0
Güeñes	Bizkaia	14.8 (15:50)	0.5 (08:40)	7,7	10 (16:30)	6 (16:30)	0	0	0	0	0
Bilbao Aeropuerto	Bizkaia	17.7 (15:40)	3.4 (06:40)	10,6	17 (15:50)	12 (16:10)	0	0	0	0	0
Coruña del Conde	Burgos	13.1 (15:00)	-2.0 (09:00)	5,6	14 (11:40)	10 (13:10)	0	0	0	0	0
Aranda de Duero	Burgos	17.5 (14:20)	-6.1 (08:50)	5,7	16 (16:00)	8 (16:00)	0	0	0	0	0
Pedrosa del Príncipe	Burgos	10.8 (16:20)	-5.0 (08:50)	2,9	17 (17:10)	14 (17:10)	0,2	0	0,2	0	0
Palacios de la Sierra	Burgos	16.5 (14:00)	-4.0 (08:30)	6,3	23 (14:40)	13 (15:30)	0	0	0	0	0
Monterrubio de la Demanda	Burgos	15.2 (14:10)	-2.6 (07:40)	6,3	27 (15:10)	19 (14:50)	0	0	0	0	0
Villamayor de los Montes	Burgos	12.3 (16:10)	-3.9 (06:30)	4,2	15 (17:30)	12 (18:30)	0	0	0	0	0
Burgos Aeropuerto	Burgos	11.9 (15:40)	-4.1 (08:40)	3,9			0	0	0	0	0
Santa Gadea de Alfoz	Burgos	12.3 (16:20)	-1.2 (03:00)	5,6			0	0	0	0	0
Sargentes de la Lora	Burgos	12.7 (16:20)	-1.9 (03:40)	5,4	22 (15:00)	16 (14:40)	0	0	0	0	0
Briviesca	Burgos	9.7 (15:20)	-2.1 (09:40)	3,8	19 (17:20)	15 (17:40)	0,2	0	0,2	0	0
Miranda de Ebro	Burgos	8.6 (15:30)	-0.3 (03:20)	4,2	12 (13:20)	7 (00:20)	0	0	0	0	0
Belorado	Burgos	8.4 (14:40)	-1.2 (05:00)	3,6	15 (14:50)	10 (14:50)	0	0	0	0	0
Navalvillar de Ibor	Cáceres	14.8 (15:10)	2.0 (23:30)	8,4	12 (14:30)	7 (02:20)	0	0	0	0	0
Madrigal de la Vera	Cáceres	14.1 (16:30)	2.2 (08:10)	8,2	11 (04:40)	6 (04:20)	0	0	0	0	0
Navalmoral de la Mata	Cáceres	12.8 (16:50)	-2.8 (06:00)	5	13 (15:20)	8 (15:20)	0	0	0	0	0
Garganta de la Olla	Cáceres	13.7 (15:50)	4.7 (23:59)	9,2	14 (04:00)	10 (03:50)	0	0	0	0	0
Serradilla	Cáceres	14.0 (15:10)	0.7 (08:00)	7,3	15 (10:40)	11 (10:40)	0	0	0	0	0
Jaraicejo	Cáceres	15.1 (16:00)	4.4 (07:40)	9,8	15 (17:10)	11 (02:20)	0	0	0	0	0
Trujillo	Cáceres	17.0 (13:00)	1.6 (09:10)	9,3	15 (14:10)	8 (16:10)	0	0	0	0	0
Cáceres	Cáceres	15.2 (16:40)	0.5 (07:30)	7,8	16 (16:10)	8 (16:00)	0	0	0	0	0
Cañaveral	Cáceres	14.6 (16:20)	0.2 (09:40)	7,4	15 (16:40)	12 (16:40)	0	0	0	0	0
Nuñomoral	Cáceres	13.9 (15:10)	-3.1 (09:10)	5,4	18 (15:00)	13 (16:00)	0	0	0	0	0
Guijo de Granadilla	Cáceres	14.5 (15:40)	0.1 (08:10)	7,3	15 (01:30)	9 (01:30)	0	0	0	0	0
Hervás	Cáceres	13.2 (16:50)	2.8 (23:59)	8	16 (12:50)	10 (19:50)	0	0	0	0	0
Montehermoso	Cáceres	13.7 (16:00)	-1.3 (07:30)	6,2	10 (13:20)	7 (13:30)	0	0	0	0	0
Tornavacas	Cáceres	14.9 (12:50)	4.9 (19:50)	9,9	28 (22:40)	21 (22:40)	0	0	0	0	0
Piornal	Cáceres	15.1 (13:30)	3.4 (23:59)	9,3	22 (03:40)	13 (02:40)	0	0	0	0	0
Plasencia	Cáceres	13.5 (15:40)	1.5 (07:30)	7,5	17 (13:10)	8 (02:20)	0	0	0	0	0
Torrecilla de los Angeles	Cáceres	14.7 (15:40)	-0.2 (09:00)	7,2	15 (13:40)	10 (12:20)	0	0	0	0	0
Hoyos	Cáceres	14.0 (15:30)	2.0 (07:50)	8	12 (14:40)	6 (14:30)	0	0	0	0	0
Zarza La Mayor	Cáceres	14.9 (16:40)	-0.6 (09:10)	7,1	10 (16:00)	7 (00:50)	0	0	0	0	0
Valverde del Fresno	Cáceres	15.0 (16:40)	1.1 (09:30)	8,1	12 (14:40)	10 (20:40)	0	0	0	0	0
Aliseda	Cáceres	16.1 (16:40)	-2.8 (08:50)	6,7	17 (20:20)	11 (20:20)	0	0	0	0	0
Brozas	Cáceres	13.5 (15:50)	3.8 (08:40)	8,6	13 (00:20)	12 (00:20)	0	0	0	0	0
Valencia de Alcántara	Cáceres	14.1 (17:20)	0.0 (07:40)	7,1	11 (13:30)	8 (03:40)	0	0	0	0	0
Guadalupe	Cáceres	15.5 (14:50)	3.6 (23:40)	9,5	13 (15:40)	8 (16:20)	0	0	0	0	0
Cañamero	Cáceres	14.4 (14:20)	3.4 (23:10)	8,9	15 (15:50)	10 (15:50)	0	0	0	0	0
Zorita	Cáceres	15.0 (16:20)	3.3 (07:20)	9,1	13 (12:00)	10 (00:10)	0	0	0	0	0
Alcuescar	Cáceres	15.7 (15:00)	3.5 (08:20)	9,6	18 (11:00)	13 (11:00)	0	0	0	0	0
Chipiona	Cádiz	15.7 (15:10)	7.1 (04:30)	11,4	15 (12:50)	10 (12:50)	0,2	0,2	0	0	0
