España											
Actualizado: viernes, 16 enero 2015 a las 09:00 hora oficial											
Fecha: jueves, 15 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Barcarrota	Badajoz	13.2 (13:00)	3.6 (03:40)	8,4	48 (21:40)	22 (23:10)	13,4	0	0,2	0	13,2
Villanueva del Fresno	Badajoz	13.6 (12:40)	5.6 (04:40)	9,6	44 (13:00)	30 (13:00)	8,8	0	0	0	8,8
Monesterio	Badajoz	10.6 (13:20)	4.3 (00:20)	7,5	43 (19:10)	22 (20:30)	9,8	0	0	0	9,8
Fuente de Cantos	Badajoz	12.3 (13:10)	4.9 (02:00)	8,6	48 (16:50)	35 (17:00)	3,4	0	0	0	3,4
Jerez de los Caballeros	Badajoz	14.3 (13:50)	2.9 (05:40)	8,6	62 (23:40)	40 (23:40)	6,6	0	0	0	6,6
Fregenal de la Sierra	Badajoz	12.3 (14:10)	1.8 (03:00)	7,1	42 (15:10)	19 (15:10)	9,6	0	0,2	0,2	9,2
Azuaga	Badajoz	12.9 (14:30)	2.1 (07:20)	7,5	39 (14:40)	23 (14:30)	4,2	0	0	0	4,2
Pontons	Barcelona	15.6 (14:30)	3.7 (22:10)	9,7	27 (13:30)	18 (12:50)	0	0	0	0	0
Vilafranca del Penedès	Barcelona	16.6 (15:10)	1.3 (07:40)	9	20 (16:10)	13 (15:40)					
Sitges	Barcelona	14.9 (13:40)	8.1 (00:50)	11,5	23 (09:10)	10 (10:10)	0	0	0	0	0
Barcelona Aeropuerto	Barcelona							0	0		0
Berga	Barcelona	14.4 (14:20)	-0.7 (06:50)	6,8	56 (14:10)	39 (14:10)	0	0	0	0	0
Balsareny	Barcelona	16.2 (15:20)	-2.8 (08:20)	6,7	28 (14:10)	14 (14:10)	0	0	0	0	0
Moià	Barcelona	13.0 (14:50)	3.9 (02:40)	8,5	33 (14:00)	17 (12:10)	0	0	0	0	0
Manresa	Barcelona	16.8 (16:10)	-1.3 (07:10)	7,7	22 (19:20)	7 (19:00)	0	0	0	0	0
Monistrol de Montserrat	Barcelona	12.6 (13:30)	7.2 (03:30)	9,9			0	0	0	0	0
Igualada	Barcelona	17.1 (15:40)	-0.1 (08:10)	8,5	12 (14:50)	5 (11:50)	0	0	0	0	0
Corbera, Pic d'Agulles	Barcelona	16.2 (13:40)	6.1 (03:50)	11,2			0,4	0,4	0	0	0
Barcelona	Barcelona	17.2 (14:40)	10.8 (04:30)	14	37 (16:20)	23 (16:20)	0	0	0	0	0
Barcelona, Museo Marítimo	Barcelona	16.3 (14:20)	9.3 (05:50)	12,8	34 (16:40)	16 (16:20)	0	0	0	0	0
Caldes de Montbui	Barcelona	17.8 (14:50)	1.2 (07:00)	9,5	25 (15:40)	15 (13:10)	0	0	0	0	0
Sabadell Aeropuerto	Barcelona										0
Vilassar de Dalt	Barcelona	16.8 (13:20)	9.9 (08:20)	13,3	35 (16:10)	21 (16:30)	0	0	0	0	0
Arenys de Mar	Barcelona	15.8 (13:30)	8.3 (08:00)	12,1	34 (15:30)	17 (12:40)					
Santa Susana	Barcelona	15.5 (14:40)	5.7 (07:50)	10,6	34 (14:00)	17 (11:30)	0	0	0	0	0
Fogars de Montclús	Barcelona	14.5 (14:10)	6.3 (23:40)	10,4			0	0	0	0	0
Tona	Barcelona										
Sant Julià  de Vilatorta	Barcelona	14.6 (14:50)	1.3 (02:40)	8	35 (15:40)	13 (15:40)	0	0	0	0	0
Forua	Bizkaia	15.8 (14:20)	8.7 (23:59)	12,3	74 (13:50)	45 (13:50)	4,4	0	0	0	4,4
Machichaco	Bizkaia				82 (10:30)	42 (23:50)	10,1	0	0	0,2	9,9
Punta Galea	Bizkaia	14.5 (14:50)	8.0 (23:40)	11,3	77 (09:10)	30 (13:50)	7,7	0	0	0,2	7,5
Orozko	Bizkaia	13.7 (14:30)	8.8 (23:59)	11,3	96 (10:10)	33 (10:40)	1,2	0	0	0	1,2
Abadiño	Bizkaia	9.3 (14:50)	5.6 (22:40)	7,5			1	0	0	0	1
Amorebieta--Etxano	Bizkaia	15.2 (15:00)	8.3 (23:59)	11,8	59 (02:30)	31 (07:10)	6,4	0	0	0	6,4
Balmaseda	Bizkaia	13.1 (13:20)	7.5 (23:59)	10,3			7,2	0	0	0	7,2
Güeñes	Bizkaia	13.8 (13:00)	7.4 (23:59)	10,6	99 (12:40)	35 (08:30)	21,9	0,5	5,9	5,2	10,3
Bilbao Aeropuerto	Bizkaia							0	0,4		5,1
Coruña del Conde	Burgos	8.3 (14:20)	-0.1 (04:10)	4,1	37 (23:30)	21 (23:30)	0,8	0	0	0	0,8
Aranda de Duero	Burgos	10.6 (14:20)	-2.0 (03:30)	4,3	46 (20:10)	26 (20:00)	1,8	0	0	0	1,8
Pedrosa del Príncipe	Burgos										
Palacios de la Sierra	Burgos	7.6 (15:00)	-0.1 (00:40)	3,7	47 (12:40)	19 (23:50)	7,4	0	0	0	7,4
Monterrubio de la Demanda	Burgos	6.4 (15:00)	2.6 (04:10)	4,5	54 (14:50)	31 (14:50)	7,2	0	0	0	7,2
Villamayor de los Montes	Burgos	7.8 (14:50)	1.6 (00:10)	4,7	53 (15:00)	33 (13:30)		0	0		4,4
Burgos Aeropuerto	Burgos	8.2 (17:10)	3.6 (02:50)	5,9			10	0	0	0	10
Santa Gadea de Alfoz	Burgos	6.2 (21:20)	2.7 (23:50)	4,4			10,8	0	0	4,2	6,6
Sargentes de la Lora	Burgos	5.3 (18:20)	2.9 (00:00)	4,1	73 (10:50)	42 (07:50)	11,6	0	0	3,4	8,2
Briviesca	Burgos	9.8 (14:10)	5.4 (00:50)	7,6	63 (21:50)	46 (22:00)	2,8	0	0	0	2,8
Miranda de Ebro	Burgos	14.2 (13:40)	8.1 (01:10)	11,2	55 (08:00)	26 (08:30)		0		0	0
Belorado	Burgos	9.9 (14:30)	5.8 (05:40)	7,8	67 (18:50)	24 (09:00)	0,2	0	0	0	0,2
Navalvillar de Ibor	Cáceres	8.7 (14:10)	3.7 (01:20)	6,2	64 (20:30)	23 (17:40)	20,4	0	0	0,4	20
Madrigal de la Vera	Cáceres							0	0,6		
Navalmoral de la Mata	Cáceres	11.0 (19:20)	4.4 (07:30)	7,7	34 (21:00)	21 (21:00)	16	0	0	1,2	14,8
Garganta de la Olla	Cáceres	8.3 (20:20)	6.8 (05:10)	7,6	33 (20:20)	16 (23:59)	31	0	2,4	5,6	23
Serradilla	Cáceres	10.7 (17:50)	6.4 (07:00)	8,5	36 (20:00)	20 (20:00)	12,4	0	0	0,8	11,6
Jaraicejo	Cáceres	9.5 (13:00)	6.5 (05:10)	8	48 (21:40)	33 (21:00)	14,2	0	0	0,6	13,6
Trujillo	Cáceres	10.3 (18:00)	6.2 (03:20)	8,3	39 (14:10)	24 (14:40)	6,2	0	0	0,3	5,9
Cáceres	Cáceres	11.7 (17:40)	6.4 (03:20)	9	58 (18:10)	31 (18:50)	10,2	0	0	0,8	9,4
Cañaveral	Cáceres	11.3 (17:00)	7.7 (08:20)	9,5	43 (17:40)	27 (17:40)	7,6	0	0,8	0	6,8
Nuñomoral	Cáceres	10.1 (18:20)	6.4 (00:00)	8,3	55 (18:00)	18 (18:00)	17	0	0,2	6,8	10
Guijo de Granadilla	Cáceres	9.9 (16:50)	8.1 (10:00)	9	41 (18:40)	23 (18:40)	11,2	0	0,2	3,2	7,8
Hervás	Cáceres	10.2 (15:10)	4.0 (00:40)	7,1	51 (16:20)	26 (13:30)	0	0	0	0	0
Montehermoso	Cáceres	11.0 (17:40)	8.1 (08:50)	9,6	31 (15:00)	17 (13:20)	7,4	0	0	1,2	6,2
Tornavacas	Cáceres							0	0,2		15,8
Piornal	Cáceres	4.7 (00:20)	3.5 (10:10)	4,1	48 (20:00)	22 (18:20)	27,6	0	1,8	4,8	21
Plasencia	Cáceres	9.6 (18:00)	7.3 (05:30)	8,5	32 (20:00)	14 (20:10)	9	0	0,3	1,1	7,6
Torrecilla de los Angeles	Cáceres	9.6 (17:30)	6.4 (23:59)	8	38 (15:30)	21 (16:00)		0		5,8	13,4
Hoyos	Cáceres	9.3 (17:00)	5.2 (23:59)	7,3	52 (15:40)	24 (15:40)	13,4	0	0	5	8,4
Zarza La Mayor	Cáceres	11.7 (16:40)	7.4 (23:59)	9,5	44 (11:50)	28 (11:50)	8,4	0	0	1,4	7
Valverde del Fresno	Cáceres										
Aliseda	Cáceres							0	0	0	
Brozas	Cáceres	11.0 (16:20)	7.3 (23:59)	9,2	51 (17:50)	37 (18:00)	5,4	0	0	0,2	5,2
Valencia de Alcántara	Cáceres	12.2 (16:10)	7.4 (23:59)	9,8	60 (17:40)	29 (14:20)	4,5	0	0	0,1	4,4
Guadalupe	Cáceres	9.1 (18:00)	4.1 (09:30)	6,6	40 (22:10)	15 (23:30)	16,2	0	0	1,6	14,6
Cañamero	Cáceres	10.3 (15:20)	3.1 (04:50)	6,7	38 (22:20)	18 (22:20)	11	0	0	0,6	10,4
Zorita	Cáceres	10.1 (20:00)	4.5 (04:10)	7,3	32 (21:40)	20 (23:40)	5,2	0	0	1,2	4
