España											
Actualizado: domingo, 01 febrero 2015 a las 09:00 hora oficial											
Fecha: miércoles, 28 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Barcelona, Museo Marítimo	Barcelona	12.6 (13:40)	7.6 (08:30)	10,1	18 (09:50)	9 (02:50)	0	0	0	0	0
Caldes de Montbui	Barcelona	13.6 (15:20)	-0.9 (07:20)	6,4	20 (16:10)	15 (16:10)	0	0	0	0	0
Sabadell Aeropuerto	Barcelona						0	0	0	0	0
Vilassar de Dalt	Barcelona	14.5 (13:10)	6.2 (05:20)	10,3	20 (12:10)	12 (06:10)	0	0	0	0	0
Arenys de Mar	Barcelona	14.6 (13:30)	4.6 (05:40)	9,6	19 (06:30)	10 (06:40)					
Santa Susana	Barcelona	11.7 (13:50)	2.2 (03:30)	6,9	16 (10:00)	9 (16:10)	0	0	0	0	0
Fogars de Montclús	Barcelona	7.4 (11:40)	1.2 (01:40)	4,3			0	0	0	0	0
Tona	Barcelona										
Sant Julià  de Vilatorta	Barcelona	9.3 (15:40)	-2.5 (04:30)	3,4	18 (17:20)	8 (13:00)	0,1	0	0,1	0	0
Forua	Bizkaia	11.7 (23:50)	7.0 (05:50)	9,3	34 (23:50)	14 (23:40)	0,6	0,6	0	0	0
Machichaco	Bizkaia				79 (23:40)	53 (23:30)	0,9	0	0,2	0,2	0,5
Punta Galea	Bizkaia	12.7 (20:40)	7.8 (06:10)	10,3	46 (23:30)	29 (23:30)	0,4	0	0	0,2	0,2
Orozko	Bizkaia	9.4 (13:50)	5.4 (06:20)	7,4	9 (23:30)	4 (08:50)	1,4	0,4	0,2	0	0,8
Abadiño	Bizkaia	6.6 (21:30)	3.2 (02:40)	4,9			1,6	0,2	0,2	0	1,2
Amorebieta--Etxano	Bizkaia	10.4 (13:40)	6.7 (08:40)	8,5	18 (15:10)	11 (23:10)	3,4	2	0,4	0	1
Balmaseda	Bizkaia	10.0 (13:30)	6.2 (05:50)	8,1			0	0	0	0	0
Güeñes	Bizkaia	9.2 (14:20)	6.0 (07:40)	7,6	12 (15:30)	6 (15:30)	0,9	0,1	0,2	0,3	0,3
Bilbao Aeropuerto	Bizkaia	12.1 (19:50)	7.2 (08:40)	9,7	33 (14:30)	20 (23:59)	0,2	0	0	0	0,2
Coruña del Conde	Burgos	5.9 (16:30)	-1.4 (08:30)	2,3	36 (10:30)	22 (13:00)	0	0	0	0	0
Aranda de Duero	Burgos	10.5 (14:30)	-2.8 (07:30)	3,9	23 (00:20)	12 (17:40)	0	0	0	0	0
Pedrosa del Príncipe	Burgos	8.1 (16:40)	-1.7 (05:00)	3,2	23 (15:50)	13 (16:00)	0	0	0	0	0
Palacios de la Sierra	Burgos	5.0 (14:20)	-3.1 (06:20)	1	48 (10:30)	29 (11:10)	0	0	0	0	0
Monterrubio de la Demanda	Burgos	5.2 (14:10)	-3.1 (08:00)	1	43 (03:20)	24 (02:30)	0,2	0	0	0,2	0
Villamayor de los Montes	Burgos	6.5 (17:10)	-0.1 (07:00)	3,2	30 (03:10)	19 (02:20)	0	0	0	0	0
Burgos Aeropuerto	Burgos	5.2 (17:40)	2.5 (05:20)	3,8			0	0	0	0	0
Santa Gadea de Alfoz	Burgos	4.0 (19:40)	1.5 (08:50)	2,8			0,2	0	0	0,2	0
Sargentes de la Lora	Burgos	5.8 (16:20)	0.8 (23:30)	3,3	33 (00:10)	19 (00:10)	0,2	0,2	0	0	0
Briviesca	Burgos	7.7 (12:40)	3.6 (07:40)	5,6	36 (22:50)	21 (22:20)	0	0	0	0	0
Miranda de Ebro	Burgos	10.3 (12:50)	4.8 (08:50)	7,6	28 (23:50)	16 (16:20)	0	0	0	0	0
Belorado	Burgos	7.4 (17:00)	2.8 (04:30)	5,1	28 (21:50)	17 (19:20)	0	0	0	0	0
Navalvillar de Ibor	Cáceres	14.1 (15:00)	3.3 (06:50)	8,7	19 (15:40)	9 (15:40)	0	0	0	0	0
Madrigal de la Vera	Cáceres	14.5 (16:30)	3.1 (08:50)	8,8	14 (16:10)	6 (15:20)	0	0	0	0	0
Navalmoral de la Mata	Cáceres	14.7 (16:50)	-3.1 (08:30)	5,8	23 (15:30)	13 (15:30)	0	0	0	0	0
Garganta de la Olla	Cáceres	13.5 (15:10)	4.6 (08:40)	9	27 (15:10)	15 (17:20)	0	0	0	0	0
Serradilla	Cáceres	15.1 (16:40)	1.3 (08:10)	8,2	46 (22:00)	28 (22:10)	0	0	0	0	0
Jaraicejo	Cáceres	13.9 (16:20)	2.7 (09:10)	8,3	19 (15:50)	12 (14:10)	0	0	0	0	0
Trujillo	Cáceres	13.6 (12:10)	0.7 (07:30)	7,2	27 (15:30)	16 (15:50)	0	0	0	0	0
Cáceres	Cáceres	14.4 (14:20)	1.8 (08:50)	8,1	27 (21:20)	17 (21:10)	0	0	0	0	0
Cañaveral	Cáceres	15.6 (16:40)	3.0 (08:50)	9,3	48 (00:50)	33 (01:10)	0	0	0	0	0
Nuñomoral	Cáceres	15.3 (13:30)	-0.7 (07:50)	7,3	43 (14:00)	20 (14:50)	0	0	0	0	0
Guijo de Granadilla	Cáceres	16.7 (15:30)	5.7 (08:50)	11,2	41 (03:30)	28 (04:10)	0	0	0	0	0
Hervás	Cáceres	14.0 (14:20)	3.1 (02:50)	8,5	32 (16:40)	17 (16:40)	0	0	0	0	0
Montehermoso	Cáceres	16.9 (16:20)	0.9 (09:00)	8,9	28 (20:20)	18 (20:20)	0	0	0	0	0
Tornavacas	Cáceres	13.1 (14:40)	4.0 (05:40)	8,6	58 (10:20)	41 (10:50)	0	0	0	0	0
Piornal	Cáceres	14.4 (13:50)	3.8 (23:59)	9,1	29 (16:50)	15 (17:00)	0	0	0	0	0
Plasencia	Cáceres							0			
Torrecilla de los Angeles	Cáceres	15.9 (14:00)	1.4 (09:00)	8,6	52 (14:40)	29 (14:30)	0	0	0	0	0
Hoyos	Cáceres	15.0 (13:50)	7.3 (08:40)	11,2	50 (00:50)	26 (00:30)	0	0	0	0	0
Zarza La Mayor	Cáceres	17.2 (15:50)	1.1 (09:40)	9,2	32 (16:30)	22 (16:40)	0	0	0	0	0
Valverde del Fresno	Cáceres	15.8 (13:50)	2.9 (07:50)	9,4	44 (15:50)	22 (15:40)	0	0	0	0	0
Aliseda	Cáceres						0	0	0	0	0
Brozas	Cáceres	14.9 (17:20)	3.1 (07:40)	9	24 (21:00)	21 (23:30)	0	0	0	0	0
Valencia de Alcántara	Cáceres	14.5 (17:20)	1.1 (07:00)	7,8	24 (15:00)	16 (14:40)	0	0	0	0	0
Guadalupe	Cáceres	13.8 (16:00)	2.2 (08:20)	8	19 (18:10)	10 (18:10)	0	0	0	0	0
Cañamero	Cáceres	12.9 (14:20)	2.0 (08:50)	7,4	20 (15:40)	13 (15:40)	0	0	0	0	0
Zorita	Cáceres	13.7 (16:30)	3.0 (06:00)	8,3	28 (16:40)	22 (16:50)	0	0	0	0	0
Alcuescar	Cáceres	14.8 (15:00)	1.3 (08:50)	8,1	29 (16:20)	17 (16:10)	0	0	0	0	0
Chipiona	Cádiz	15.1 (14:30)	4.2 (08:40)	9,7	20 (15:40)	14 (21:00)	0	0	0	0	0
Rota, Base Naval	Cádiz	15.4 (15:00)	5.3 (08:30)	10,3			0	0	0	0	0
Grazalema	Cádiz	12.6 (14:50)	1.8 (08:30)	7,2	22 (23:50)	10 (23:50)	0	0	0	0	0
Olvera	Cádiz	15.4 (15:40)	4.8 (07:20)	10,1	21 (15:30)	13 (06:40)	0	0	0	0	0
El Bosque	Cádiz	16.5 (16:00)	2.7 (08:50)	9,6	21 (15:00)	13 (15:20)	0	0	0	0	0
San José del Valle	Cádiz	17.1 (15:40)	5.3 (08:10)	11,2	15 (13:40)	8 (17:40)	0	0	0	0	0
