España											
Actualizado: sábado, 01 febrero 2014 a las 09:00 hora oficial											
Fecha: viernes, 31 enero 2014											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Santa Susana	Barcelona	12.4 (14:20)	1.4 (05:30)	6,9			0	0	0	0	0
Fogars de Montclús	Barcelona	6.9 (12:40)	-0.6 (08:10)	3,2			0	0	0	0	0
Sant Julià  de Vilatorta	Barcelona	9.8 (15:50)	-2.1 (03:40)	3,9	19 (15:50)	9 (16:50)	0,2	0	0,1	0,1	0
Lekeitio	Bizkaia	13.1 (23:59)	6.6 (00:10)	9,9	66 (03:30)	48 (06:00)	5,7	4,8	0,9	0	0
Forua	Bizkaia	11.4 (23:59)	6.0 (00:00)	8,7	53 (03:30)	20 (03:30)	5,8	5,2	0,6	0	0
Machichaco	Bizkaia				152 (02:10)	65 (03:10)	6,5	6,5	0	0	0
Punta Galea	Bizkaia	13.9 (23:50)	7.9 (00:00)	10,9	51 (00:30)	28 (00:30)	4,7	4	0,7	0	0
Orozko	Bizkaia	12.9 (23:00)	3.0 (09:30)	7,9	49 (23:50)	22 (22:40)	5,4	5,4	0	0	0
Abadiño	Bizkaia	7.0 (23:59)	0.5 (00:00)	3,8			13	12	0,8	0	0,2
Amorebieta--Etxano	Bizkaia	12.5 (23:59)	5.8 (00:10)	9,2	32 (05:10)	18 (05:20)	4,8	4,4	0,4	0	0
Balmaseda	Bizkaia	11.5 (23:50)	4.7 (00:00)	8,1			11,2	9,6	1,4	0	0,2
Güeñes	Bizkaia	12.9 (23:20)	4.4 (08:30)	8,6	31 (23:30)	14 (02:30)	3,4	3,4	0	0	0
Bilbao Aeropuerto	Bizkaia	15.8 (23:50)	7.1 (08:40)	11,5	42 (02:40)	23 (02:20)	4,8	4,4	0,4	0	0
Coruña del Conde	Burgos	7.1 (23:20)	2.3 (00:00)	4,7	34 (03:20)	21 (03:20)	0	0	0	0	0
Aranda de Duero	Burgos	10.0 (15:50)	3.6 (08:30)	6,8	38 (03:40)	21 (03:30)	0	0	0	0	0
Pedrosa del Príncipe	Burgos	9.9 (15:40)	3.2 (05:50)	6,5	39 (23:59)	23 (20:20)	0	0	0	0	0
Palacios de la Sierra	Burgos	5.5 (23:40)	0.0 (02:00)	2,8	25 (23:30)	14 (23:30)					
Monterrubio de la Demanda	Burgos	4.8 (23:59)	-0.2 (00:30)	2,3	37 (23:50)	23 (23:59)	0	0	0	0	0
Villamayor de los Montes	Burgos	8.2 (16:00)	2.8 (00:00)	5,5	31 (23:40)	23 (23:40)	0	0	0	0	0
Burgos Aeropuerto	Burgos	7.8 (16:10)	2.3 (05:30)	5,1			0,8	0,6	0	0,2	0
Santa Gadea de Alfoz	Burgos	7.6 (20:50)	0.8 (01:20)	4,2			9,8	6,6	3,2	0	0
Sargentes de la Lora	Burgos	6.6 (19:40)	0.3 (00:00)	3,4	45 (23:50)	31 (23:10)	0,8	0,2	0,6	0	0
Briviesca	Burgos	9.1 (17:40)	2.8 (08:40)	6	41 (20:10)	30 (20:10)	0,6	0,4	0,2	0	0
Medina de Pomar	Burgos	10.6 (21:50)	2.6 (00:00)	6,6	42 (21:30)	18 (21:20)	7,8	7,2	0,6	0	0
Belorado	Burgos	8.9 (23:30)	2.5 (08:10)	5,7	50 (21:30)	21 (22:50)					
Navalvillar de Ibor	Cáceres	9.0 (16:20)	3.8 (00:10)	6,4	31 (23:59)	13 (22:40)	0,8	0	0	0	0,8
Madrigal de la Vera	Cáceres	13.0 (16:50)	5.4 (03:20)	9,2	14 (13:10)	6 (13:10)	0,8	0,8	0	0	0
Navalmoral de la Mata	Cáceres	16.1 (16:20)	7.8 (03:20)	12	51 (04:40)	32 (04:40)	0	0	0	0	0
